Permalink,Creator,Object title,Type,Format,Licence,Date (From),Date (To),Date (Appendix),Image number,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19 
 https://gams.uni-graz.at/o:vase.1021 ," Stojanović/Karastoyanov, Anastas Nikolov ", Portrait of a man dressed in folk attire ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,  , after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1021/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1021/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1022 ," Stojanović/Karastoyanov, Anastas Nikolov "," Anastas Jovanović, photographer ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1865,  , after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1022/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1022/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1023 ," Stojanović/Karastoyanov, Anastas Nikolov "," Konstantin A. Jovanović, architect ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1865,  , after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1023/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1023/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1024 ," Stojanović/Karastoyanov, Anastas Nikolov "," Konstantin A. Jovanović, architect ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1975,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1024/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1024/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1025 ," Stojanović/Karastoyanov, Anastas Nikolov "," Konstantin A. Jovanović, architect ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1965,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1025/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1025/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1026 ," Stojanović/Karastoyanov, Anastas Nikolov ", Princess Julija Obrenović ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1026/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1026/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1027 ," Stojanović/Karastoyanov, Anastas Nikolov "," Anastas Jovanović, photographer ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,1865,  ,1, https://gams.uni-graz.at/archive/objects/o:vase.1027/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1028 ," Stojanović/Karastoyanov, Anastas Nikolov "," Ilija Garašanin, politician and statesman ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,1865,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1028/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1028/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1029 ," Stojanović/Karastoyanov, Anastas Nikolov "," Anastas Jovanović, photographer ",Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1860,, after ,1, https://gams.uni-graz.at/archive/objects/o:vase.1029/datastreams/IMAGE.1/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.103 ," Karastoyanov, Ivan Anastasov ", Studio portrait of Konstantin Stoilov's children ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1892,1893,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.103/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.103/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
